id;acreedorCodigoSap;ruc;telefono;idCondicionPago;idMoneda;idTipoProveedor;email;razonSocial;tipoPersona;direccionFiscal;emailRetencion
25;1000050;20549995692;;NT60;PEN;1;cesar.rodriguez@casacores.com.pe;CASA CORES S.A.C.;J;CAL. SIETE MZA. I LOTE. 7 URB. SAN GABRIEL;
26;1000052;20307328632;;NT90;PEN;1;ventas@solucionesquimicasperu.com;SOLUCIONES QUIMICAS DEL PERU S.A.;J;CAL. SANTA LUCILA NRO. 134 URB. VILLA MARINA (ALT. CDR 2 AV;
27;1000053;20268214527;;NT90;PEN;1;msoto@sigelec.com.pe;SIGELEC S.A.C.;J;AV. OSCAR R. BENAVIDES NRO. 5289;
28;1000054;20608733141;;NT60;PEN;1;administracion@hb21motors.com;HB21 MOTORS S.A.C.;J;AV. CALCA NRO 249 COO. VEINTISIETE DE ABRIL;
29;1000055;20100025915;;NT60;PEN;1;eddie.huacasi@pimentel.com.pe;ALFREDO PIMENTEL SEVILLA S.A.;J;AV. ANGAMOS ESTE NRO. 1795 URB. EL CONDOR;
30;1000067;20417926632;;NT07;PEN;1;bromero@modasa.com.pe;MOTORES DIESEL ANDINOS S.A.;J;CAR. ANTIGUA PANAMERICANA SUR KM. 38.2 LOTE. 3 FND. LAS SALI;
31;1000068;20601044600;;NT60;PEN;1;ventas@profelec.com.pe;PROVEEDORES FERRETEROS Y ELECTRICOS;J;AV. LOS VIRREYES MZA. A LOTE. 16 URB. RISSO (CRUCE CON AV LA;
32;1000070;20604755892;;NT60;PEN;1;rpalacios@somehisac.com;SOPORTE MECANICO HIDRAULICO S.A.C.;J;MZA. A LOTE 07 ASC. SANTA ROSA DE CARABAYLLO;
33;1000071;20605883509;;NT60;PEN;1;msaenz@cjmmining.com;CJM MINING S.A.C.;J;CAL. IGNACIO MERINO NRO. 3730 URB. PANAMERICANA NORTE;
34;1000072;20602005870;;NT60;PEN;1;mquispe@qmsac.com.pe;Q & M S.A.C GLOBAL SERVICES;J;PERU NRO. 1418 FIORI;
35;1000074;20100248621;;NT60;PEN;1;dpescoran@recolsa.com.pe;RECOLSA S.A.;J;AV. NESTOR GAMBETTA NRO. 4769 FND. FDO BOCANEGRA (ALTURA DE;
36;1000075;20504822274;;NT60;PEN;1;cchirinos@carp.pe;CARP & ASOCIADOS S.C.R.L.;J;AV. ABEL B DU PETIT THOUARS NRO. 3975 URB. CHACARILLA DE SAN;
37;1000076;20524180465;;NT60;PEN;1;jbecerra@am-abg.pe;BVA MINERIA Y CONSTRUCCION S.A.C.;J;CAL. LISBOA NRO. 273 URB. LOS PORTA DE JAVIER PRADO (ALT DEL;
38;1000077;20520588486;;NT60;PEN;1;fcamacho@divemotor.com.pe;DIVECENTER S.A.C;J;AV. CANADA NRO. 1160 URB. SANTA CATALINA;
39;1000078;20100296439;;NT60;PEN;1;ventasm01@igardi.com;IGARDI HERRAMIENTAS S.A.;J;AV. JAVIER PRADO ESTE NRO. 1131 (LIMA 13);
40;1000080;20544617479;;NT60;PEN;1;ventas@metapev.com;METAPEV E.I.R.L;J;AV. CAJAMARQUILLA NRO. 1236 URB. ZARATE;
41;1000081;20131529181;;NT60;PEN;1;jinouye@segusa.com.pe;SEGURINDUSTRIA SA;J;AV. NICOLAS DE PIEROLA NRO. 980 URB. PRIMAVERA;
42;1000083;20555116838;;NT60;PEN;1;informes@radiadorespino.com.pe;CONSORCIO HERMANOS PINO S.A.C.;J;AV. LAS TORRES MZA. K LOTE. 01 APV. LA CAPITANA (ALT. MERCAD;
43;1000084;20489472121;;NT60;PEN;1;CMC-PRADO@HOTMAIL.COM;CONSTRUCTORA MINEROS Y CIVILES;J;CAL. ANGEL RAMOS PICON MZA. 2 LOTE 4 SEC. COLUMNA PASCO;
44;1000085;20516080621;;NT60;PEN;1;ventas@bacruflex.com;BACRUFLEX EIRL;J;CAL. LOS FICUS MZA. C LOTE. 1 A.H. SEÑOR DE LUREN (KM 17.5 P;
45;1000086;20600667611;;NT60;PEN;1;jose.cisneros@robitgroup.com;ROBIT S.A.C.;J;AV. DEL EJERCITO NRO. 250 DPTO. 201 URB. SANTA CRUZ;
46;1000088;20610382941;;NT30;PEN;1;rosmelgonzalesarteaga@gmail.com;CORPORACION SHARLOT;J;JR. HIPOLITO UNANUE NRO S/N C.P. SMELTER;
47;1000093;20601345910;;NT45;PEN;1;logistica@hydexcorp.com;HYDEXCORP S.A.C.;J;AV. PACHACUTEC MZA. 7 LOTE. 2 Z.I. PARQUE INDUSTRIAL (PARCEL;
48;1000094;20552951825;;NT60;PEN;1;larce@cromomar.com;CROMOMAR E.I.R.L.;J;CAL. EL ANIS NRO. 4200 URB. EL NARANJAL;
49;1000095;20100307902;;NT60;PEN;1;pierina.vivanco@resemin.com;RESEMIN S.A.;J;CAL. LUIS GALVANI NRO. 356 URB. LOT.INDUSTRIAL SANTA ROSA (A;
50;1000096;20602240453;;NT60;PEN;1;ventas@importneby.com;IMPORTACIONES NEBY E.I.R.L.;J;AV. HUANCARAY NRO 551 COO. LOS CHANCAS DE ANDAHUAYLA;
51;1000097;20557179829;;NT60;PEN;1;antonio.sanmartin@inkanata.ca;INKANATA FACTORY & MINING SUPPORT S.A.C.;J;SECTOR C MZA. C LOTE. 2 INT. 02 URB. SECTOR C MZA. C LOTE. 2;
52;1000098;20602897126;;NT60;PEN;1;jimmylachira@gesteinsac.com;GESTION TECNICA INDUSTRIAL S.A.C.;J;AV. ALAMEDA LOS HORIZONTES MZA. N1 LOTE 1B URB. LOS HUERTOS;
53;1000099;20604029024;;NT60;PEN;1;ggongora@overall-equipment.pe;INVERSIONES ILLAYUK S.A.C.;J;CAL. SIMON BOLIVAR NRO. 221 INT. 07 URB. LEURO;
54;1000101;20555693711;;NT60;PEN;1;nalvarado@rymequipos.com;REPARACIONES Y MANTENIMIENTOS GENERALES;J;MZA. D LOTE 1 URB. LOS JARDINES DE SANTA ROS;
55;1000105;20257364608;;NT60;PEN;1;omar.porras@boartlongyear.com;BOART LONGYEAR S.A.C.;J;N_A;
56;1000106;20535631043;;NT60;PEN;1;lu_trav@hotmail.com;LOGISTICA INTEGRAL E INVERSIONES;J;AV. BAUZATE Y MEZA NRO. 240 (POR LA MUNICIPALIDAD);
57;1000107;20612224219;;NT30;PEN;1;jaylas@jmfingenieriayservicios.com.pe;JMF INGENIERIA Y SERVICIOS S.A.C.;J;MZA. A1 LOTE 32 SEC. 2 BARR1 IV ETAPA;
58;1000109;20603261349;;NT60;PEN;1;christian.vicente@qualis-tech.com;QUALIS TECHONOLOGY;J;CAL. LOS ANTARES NRO 320 DEP. 603 URB. LA ALBORADA;
59;1000110;20474948006;;NT60;PEN;1;dravines@md.com.pe;MAESTRANZA DIESEL S.A.C;J;AV. ARGENTINA NRO. 6194 URB. PQUE. INTER. DE LA INDUST (FREN;
60;1000111;20513453711;;NT60;PEN;1;VENTAS3@WHYNCOPERU.COM;WHYNCO PERU EIRL;J;AV. CAJAMARCA MZA. T LOTE. 2 ASC. EL DORADO (AV. LOS CIPRESE;
61;1000115;20100082803;;NT60;PEN;1;jhon.baldeon@epiroc.com;EPIROC PERU SOCIEDAD ANONIMA;J;JR. FRANCISCO GRANA NRO. 150 URB. SANTA CATALINA;
62;1000132;20504977987;;NT60;PEN;1;karango@aba-representaciones.com;ABA REPRESENTACIONES S.A.C.;J;AV. LOS FAISANES MZA. A-1 LOTE 15 URB. LA CAMPIÑA;
63;1000133;20261239923;;NT60;PEN;1;ppacheco@sedisa.com.pe;SEDISA S.A.C;J;AV. CIRCUNVALACION CLUB GOLF NRO. 154 INT. 904 URB. GOLF LOS;
64;1000136;20601355885;;NT60;PEN;1;ventas2@seguinsa.com;SEGURYTEC E INGENIERIA S.A.C.;J;CAL. INTIHUATANA NRO 182 COO. UNIVERSAL;
65;1000137;20557490354;;NT60;PEN;1;informes@delco.pe;DELCO MINING SERVICES E.I.R.L.;J;N_A;
66;1000138;20610386271;;NT60;PEN;1;gpragonesi@eratalent.one;ERA TALENT S.A.C.;J;AV. ROCA BOLOÑA NRO 528 DEP. 402;
67;1000139;20507430555;;NT60;PEN;1;emendoza@oem-electric.com;OEM ELECTRIC SOCIEDAD ANONIMA CERRADA;J;AV. JAVIER PRADO ESTE NRO. 996 DPTO. 301 URB. EL PALOMAR (CO;
68;1000140;20511914125;;NT75;PEN;1;rober.sullcapuma@soltrak.com.pe;SOLTRAK S.A.;J;AV. ARGENTINA NRO. 5799 (A LA ALTURA DE LA AV. ENRIQUE MEIGG;
69;1000142;20601259487;;NT60;PEN;1;Roxana@enerlubperu.com;ENERGIA & LUBRICACION PERU E.I.R.L.;J;CAL. EL PALMAR - TORRE 2 MZA. G LOTE. 1 DPTO. 606 URB. RESID;
70;1000143;20551526594;;NT60;PEN;1;david.candia@sitech.com.pe;SOLUCIONES SITECH PERU SA;J;AV. EL DERBY NRO 254 URB. EL DERBY DE MONTERRICO;
71;1000144;20568086041;;NT60;PEN;1;cecilia.aguirre@lucarbal.com;LUCARBAL RENT A CAR E.I.R.L.;J;CAR. CARRETERA CENTRAL NRO S/N CPMEN. SAN AGUSTIN DE CAJ;
72;1000146;20538597121;;NT60;PEN;1;karla.yanqui@draeger.com;DRAEGER PERU S.A.C;J;AV. SAN BORJA SUR N°573 (PTASDE INGRESO AV. SAN BORJA 573-57;
73;1000148;20601288584;;NT60;PEN;1;industrialheag@yahoo.com;INDUSTRIAL HEAG S.A.C.;J;CAL. X MZA. J2 LOTE 01 URB. RESID. LUCYANA DE CARABAY;
74;1000149;20509103004;;NT60;PEN;1;gastonluna@biosolve.com.pe;BIO SOLVE SRL;J;CAL. JUAN DE LA FUENTE NRO 450 URB. SAN ANTONIO;
75;1000151;20605805958;;NT60;PEN;1;juanagraciela@gruponordiesel.com;GRUPO NOR DIESEL SAC;J;AV. ALFREDO MENDIOLA NRO. 7927 URB. PRO ET. UNO;
76;1000152;20609451883;;NT60;PEN;1;ventas@lymrepuestos.com;L & M REPUESTOS Y SUMINISTROS S.A.C.;J;AV. GENERAL PEDRO SILVA NRO 393 INT. 101 URB. SAN JUAN ZN. B;
77;1000154;20601456711;;NT60;PEN;1;promaringenieros03@gmail.com;PROMAR INGENIEROS E.I.R.L.;J;JR. FELIPE PARDO ALIAGA NRO 201 URB. SAN JUAN;
78;1000156;20175795414;;NT60;PEN;1;ecomproyect@ecomproyect.com;PROYECTOS ELECTRONICOS Y DE COMUNICACIÓN;J;AV. CARLOS IZAGUIRRE NRO. 764 DPTO. 3PI URB. LAS PALMERAS (T;
79;1000160;20386233111;;NT90;PEN;1;jonathan.ginez@modiesel.com.pe;M Y O DIESEL S.C.R.L.;J;AV. AURELIO SOUZA NRO 348;
80;1000162;20100416949;;NT45;PEN;1;repuestos@metaltecnica.com.pe;METAL TECNICA S.A.;J;CAL. OMICRON NRO. 580 URB. PQUE.INT.DE INDUSTRIA Y C (ALT.CU;
81;1000164;20604298491;;NT60;PEN;1;lcp.proyectos20@gmail.com;LCP PROYECTOS S.A.C.;J;PJ. LA CANTUTA NRO 275 A.V. LOS TRIGALES;
82;1000166;20538335780;;NT90;PEN;1;mrendon@softmarkperu.com;SOFTMARK GROUP S.A.C.;J;AV. ALFREDO BENAVIDES NRO 1944 INT. 1002 URB. EL ROSEDAL;
83;1000167;20605106537;;NT60;PEN;1;ventas@vierochka.com.pe;GLOBAL LOGISTICS VIEROCHKA S.A.C.;J;AV. FLORA TRSITAN NRO 850 URB. SANTA PATRICIA 3ERA ET.;
84;1000168;20341257167;;NT60;PEN;1;massiel@globaltec.com.pe;GLOBALTEC S.A.C.;J;JR. NIQUEL NRO. 240 (CRUCE CON CA. EL LATON);
85;1000169;20549574247;;NT60;PEN;1;tfarfan@evaluar.pe;EVALUAR.COM S.A.C.;J;CAL. GENERAL RECAVARREN NRO. 111 URB. SURQUILLO (PISO 7);
86;1000171;20100172543;;NT60;PEN;1;admservicios@movitecnica.com.pe;MOVITECNICA SA;J;CAL. ELIAS AGUIRRE NRO 605 DEP. 1001;
87;1000173;20602768440;;NT60;PEN;1;operaciones@ralumin.com;RALUMIN E.I.R.L.;J;MZA. D1 LOTE. 1F ASC. P.V. COMPRADORES DE TERRE;
88;1000175;20607306771;;NT90;PEN;1;juliana.lopez@kurac.com.pe;KURAC S.A.C.;J;AV. ALFREDO BENAVIDES NRO 2542 DEP. 402 URB. LOS TULIPANES;
89;1000176;20612373451;;NT00;PEN;1;castaiza@512producciones.com;CE NEGOCIOS Y ASESORIAS E.I.R.L.;J;AV. ISMAEL BIELICH MZA. G LOTE 2;
90;1000177;20552846363;;NT60;PEN;1;FACTURACION@MAFISAMOTORS.COM.PE;MAFISA MOTORS SOCIEDAD ANONIMA CERRADA;J;AV. NICOLAS ARRIOLA NRO 3050;
91;1000178;20392805665;;NT60;PEN;1;ventas3@abmin.com.pe;ABASTECIMIENTOS MINEROS E;J;MZA. B LOTE. 7 COO. VIRGEN DE COCHARCAS (AV MATEO PUMACAHUA);
92;1000187;20605279628;;NT60;PEN;1;JBERRU@FACOMP.NET;CONSORCIO FACOMP S.A.C.;J;CAL. MARIANO MEZA MEDRANO NRO 488 URB. SAN GERMAN 1RA.ET;
93;1000189;20510942559;;NT60;PEN;1;facturacion@tallereslucas.pe;TALLERES LUCAS PERÚ S.A.C.;J;CAL. RENE DESCARTES NRO 146 URB. SANTA RAQUEL ET. DOS;
94;1000190;20515386255;;NT45;PEN;1;clarisa@xprosac.pe;XPRO S.A.C. MINEPARTS;J;JR. CAJAMARQUILLA NRO 646 URB. AZCARRUNZ BAJO;
95;1000192;20520664174;;NT90;PEN;1;williamrodriguez@rodalva.com;RODALVA S.R.L.;J;CAL. MARCOS FARFAN NRO 3325 URB. IND.PANAMERICANA NORTE;
96;1000193;20492405974;;NT60;PEN;1;contabilidad@vierochka.com.pe;INDUSTRIAL VIEROCHKA S.A.C;J;AV. FLORA TRISTAN NORTE NRO. 850 URB. SANTA PATRICIA 3ERA,ET;
97;1000194;20374818661;;NT60;PEN;1;creditoscobranzas@proemisa.pe;PROYECTOS EJECUCION Y MONTAJES INDST.SA;J;AV. LOS LIBERTADORES NRO. 151 URB. LOS LIBERTADORES;
98;1000195;20607923303;;NT60;PEN;1;operaciones@wohler.com.pe;WOHLER CORPORATION S.A.C.;J;NICOLAS ARRIOLA NRO 869;
99;1000198;20600838149;;NT90;PEN;1;fcasanca@vesergen.com;VESERGEN PERU S.A.C.;J;CAL. PROFAM PERU MZA. Y1 LOTE 09 Z.I. PROFAM PERU;
100;1000199;20608588907;;NT60;PEN;1;ventas2@corporaciontecnex.com.pe;INDUSTRIAS TECNEX E.I.R.L.;J;OTR.PISO 2 KM. 0 APV. LOS ALAMOS DE PRIALE;
101;1000200;20302241598;;NT60;PEN;1;anthony.porras@kmmp.com.pe;KOMATSU-MITSUI MAQUINARIAS PERU S.A.;J;AV. ARGENTINA NRO 4453;
102;1000202;20602876463;;NT60;PEN;1;ZDIAZ@AIMTALENT.COM;AIMTALENT S.A.C.;J;AV. EL DERBY NRO. 254 INT. 2501 URB. EL DERBY DE MONTERRICO;
103;1000204;20508596732;;NT60;PEN;1;mario.vasquez@rmbsateci.com.pe;RMB SATECI SOCIEDAD ANONIMA CERRADA;J;AV. STO DOMINGO DE LOS OLLERO KM. 62.5 SEC. PARCA (FUNDO SAN;
104;1000205;20508438584;;NT30;PEN;1;disense@disense.com.pe;DIESEL ENGINE SERVICE S.A.C.;J;CAL. SAN MARCELINO MZA. J1 LOTE 6 URB. VILLA MARINA;
105;1000208;20102306598;;NT90;PEN;1;ccoha@nogasa.com.pe;VISTONY COMPAÑIA INDUSTRIAL DEL PERU;J;(ALT.KM.46.5 PAN.NORTE);
106;1000209;20601900590;;NT60;PEN;1;administracion@serwell.com.pe;COTECOR S.A.C;J;CAL. RIO MARAÑON MZA B LOTE 25;
107;1000210;20573207450;;NT60;PEN;1;importaciones.divalcars@gmail.com;IMPORTACIONES Y SERVICIOS GENERALES;J;CIRCUNVALACION TUPAC AMARU 154 CHAUPIMARCA -PASCO;
108;1000212;20538462111;;NT60;PEN;1;wilmer.asto@iproasac.com.pe;INGENIERIA DE PROYECTO ASTO S.A.C.;J;JR. PEDRO GENARO DELGADO MZA. K LOTE. 11 URB. EL ROSARIO;
109;1000216;20602080774;;NT60;PEN;1;mlermo@maelperu.com;MAEL PERU S.A.C.;J;AV. ALAMEDA NRO 130 INT. 2 DEP. 502;
110;1000219;20100134706;;NT60;PEN;1;orders.pe@sandvik.com;SANDVIK DEL PERU S.A.;J;OTR. CRUCE AV. CAMINO REAL Y C MZA. C4 LOTE. 5 URB. HUACHIPA;
111;1000221;20603251068;;NT60;PEN;1;facturacion@heparambiental.com;HEPAR S.A.C.;J;JR. OROYA MZA. 4 LOTE. D2;
112;1000226;20608046616;;NT60;PEN;1;kenny.concha@hydraulicsolutionperu.com;HYDRAULIC SOLUTION PERU S.A.C.;J;MZA. A LOTE 10 A.V. LA MERCED KM. 9.3;
113;1000228;20371939173;;NT60;PEN;1;admi@betkoperu.com;BETKO PERU EIRL;J;ALM. EL ESPINEL NRO. 259 URB. LAS BRISAS DE VILLA (FAVRICA L;
114;1000230;20548643962;;NT60;PEN;1;ventas1@aprometsac.com;ABASTECEDORA DE PRODUCTOS METALURGICOS;J;CAL. GAMMA NRO. 249 Z.I. PARQ INTRNCNL IND Y COMER;
115;1000234;20611317221;;NT30;PEN;1;c.aguilar@kree8consulting.com;KREE8 CONSULTORES S.A.C.;J;JR. TOMASAL NRO 820 INT. E403 URB. HUERTOS DE SAN ANTONIO;
116;1000235;20380589754;;NT60;PEN;1;avega@er.com.pe;ESTUDIO RODRIGUEZ ANGOBALDO S.A.C.;J;CAL. CHINCHON NRO 601 URB. JARDIN;
117;1000245;20489612586;;NT60;PEN;1;mquispe@esgh.com.pe;EMPRESA DE SERVICIOS GENERALES;J;JR. LIMA NRO S/N HUARAUCACA;
118;1000246;20600924941;;NT60;PEN;1;ventas2@corporaciontecnex.com.pe;INDUSTRIAL TECNEX S.A.C.;J;AV. MALECON CHECA EGUIGUREN NRO. 3038 A.V. LOS ALAMOS DE PRI;
119;1000248;20100084920;;NT60;PEN;1;luis.alvarez@braillardperu.com;BRAILLARD S.A.;J;CAL. JOSE DE RIVADENEYRA NRO. 1054 URB. SANTA CATALINA (CALL;
120;1000249;20504292968;;NT90;PEN;1;asegovia@hunter.com.pe;AUTOSAFE S.A.C.;J;AV. JOSE PARDO NRO 434 INT. 1301;
121;1000255;20486182351;;NT60;PEN;1;aurelio.romero@automotrizcp.com.pe;AUTOMOTRIZ CENTRAL DEL PERU S.A.C.;J;CAR. CARRETERA CENTRAL MARGEN KM. 108;
122;1000257;20330096749;;NT30;PEN;1;mrodriguez@comsatel.com.pe;COMSATEL PERU SAC;J;CAL. DIEGO GAVILAN NRO. 165 (ENTRE LA CDRA. 5 - 6 AV. PERSIN;
123;1000258;20508699035;;NT60;PEN;1;asistente@mccobusiness.com;MCCO INTERNATIONAL BUSINESS S.A.C.;J;CAL.OSWALDO HERCELLES NRO. 266 URB. SANTA CATALINA;
124;1000262;20513747382;;NT60;PEN;1;reynaldomayna168@gmail.com;RR.J. K SERVICIOS GENERALES S.A.C;J;CAL. LAS GUABAS NRO. 4469 URB. NARANJAL;
125;1000265;20600822196;;NT60;PEN;1;ventas1@cofel.com.pe;COMERCIO FEDERAL DEL PACIFICO E.I.R.L.;J;AV. GUARDIA CIVIL NRO 831A INT. C URB. LA CAMPIÑA ZONA CUATR;
126;1000266;20601829101;;NT45;PEN;1;yruiz@difesmaq.com;DIFESMAQ SAC;J;N_A;
127;1000267;20516818868;;NT60;PEN;1;dcastillo@aom.pe;AOM SUMINISTROS INDUSTRIALES S.A.C;J;JR. CRUZ DEL SUR NRO. 154 INT. 1503 URB. LOS GRANADOS;
128;1000269;20603628757;;NT60;PEN;1;ventas@proindmat.com;PROINDMAT QUIMICOS E.I.R.L.;J;JR. SANTA LEONOR NRO. 6425 URB. SANTA LUISA (ESPALDA DE LA U;
129;1000270;20524538793;;NT60;PEN;1;jhon.rivera@dsiunderground.com;DSI UNDERGROUND PERU S.A.C;J;AV. NESTOR GAMBETTA NRO. 458 URB. INDUSTRIAL LA CHALACA (A 2;
130;1000271;20603289600;;NT60;PEN;1;cvalle@antut-advisors.com;ANTUT ADVISORS SOCIEDAD ANONIMA CERRADA;J;CAL. GERMAN SCHREIBER NRO 276;
131;1000275;20100063761;;NT60;PEN;1;dsaenz@fcentral.com.pe;FUNDICION CENTRAL S.A.;J;CAL. 1 MZA. C LOTE. 10 URB. SANTA RAQUEL II ETAPA (ESPALDA D;
132;1000276;20550905648;;NT60;PEN;1;haydeerbalcazar@hotmail.com;CONSORCIO CASA BALCAZAR S.A.C.;J;CAL. LOS RUISEÑORES NRO. 136 URB. SANTA CECILIA;
133;1000279;20608567331;;NT30;PEN;1;gruaslafequelucha@hotmail.com;GLOBAL GRUAS S.A.C.;J;CAL. IBAÑEZ NRO 111 DEP. 1 URB. MARIA ISABEL;
134;1000282;20100776562;;NT60;PEN;1;sdiaz@malvex.pe;MALVEX DEL PERU SA.;J;AV. JAVIER PRADO ESTE NRO. 1169 URB. SANTA CATALINA (ALTURA;
135;1000283;20607668061;;NT60;PEN;1;jemsa@jemsaperu.com;CORPORACION JEMSA E.I.R.L.;J;AV. DEFENSORES DEL MORRO NRO 1625 INT. 1044;
136;1000284;20603453108;;NT60;PEN;1;ventas@avlsm.com;SUMINISTROS MINEROS AVL S.A.C.;J;CAL. MRCAL RAMON CASTILLA NRO 469 URB. JORGE CHAVEZ . I ET.;
137;1000287;20603563833;;NT60;PEN;1;supervisor.solujpa@outlook.com;SOLUCIONES AUTOSERVICIOS J.P.A. E.I.R.L.;J;AV. EVITAMIENTO NRO SN;
138;1000288;20429109290;;NT60;PEN;1;ventas@jirehperu.com;JIREH IMPRESIONES S.A.;J;CAL. FERROCARRIL NRO. 1236 URB. JOSE GALVEZ;
139;1000289;20503399637;;NT60;PEN;1;juancarlos.cieza@mgmetalmecanica.com;M G METAL MECANICA S.A.C.;J;AV. 2 DE MAYO NRO 735A URB. NUEVA ESPERANZA;
140;1000302;20602456537;;NT30;PEN;1;jair@fluyebottle.com;FLUYEBOTTLE S.A.C.;J;AV. LOS CONQUISTADORES NRO 895 URB. FUNDO CONDE DE SAN ISIDR;
141;1000305;20606256567;;NT30;PEN;1;jessica.paiva@ccnetperu.com;CRISCARNET S.A.C.;J;CAL. WILLY RETTO NRO 3290 URB. CANTO DE SOL;
142;1000306;20606142499;;NT00;PEN;1;naepe@detroit.pe;DETROIT POWER SYSTEM PERULIMITADA S.R.L.;J;AV. ARGENTINA NRO 2020;
143;1000310;20102185863;;NT30;PEN;1;macero@apccorporacion.com;APC CORPORACION S.A.;J;AV. JOSE LARCO NRO 1301 INT. 1503 COMPLEJO MARRIOT;
